company_id,company_domain,company,target_roles,full_name,role,email,source_type,source_url,provider_name,verification_status,confidence,reason_to_write,evidence_urls,score
145a45c2-66cd-4731-8dd7-10ade02f6462,grnh.se,Grnh,CTO; Founder; Head of Talent; VP Engineering,,,,verified_provider,,,provider_verified,0.95,Pomelo Care posted in Ask HN: Who is hiring? (August 2026).,https://news.ycombinator.com/item?id=49164060;https://news.ycombinator.com/item?id=49159784;https://news.ycombinator.com/item?id=49157781,50
7ea08672-4f49-4a65-ba11-082c288be2b9,braincorp.com,Brain Corp,CTO; Founder; Head of Talent; VP Engineering,,,,verified_provider,,,provider_verified,0.95,Generic job board detected for braincorp.com.,https://www.braincorp.com/careers;https://news.ycombinator.com/item?id=49160057,39
7bea3ecc-ad1d-4a9b-86aa-e52db33b5863,distru.com,Distru (,CTO; Founder; Head of Talent; VP Engineering,,,,verified_provider,,,provider_verified,0.95,Generic job board detected for distru.com.,https://www.distru.com/careers;https://news.ycombinator.com/item?id=49158895,37
251a24d7-a5b8-4691-a1f4-3ecd36d2a5cb,apexdp.comwe,Apex Dental Partners,CTO; Founder; Head of Talent; VP Engineering,,,,verified_provider,,,provider_verified,0.95,Apex Dental Partners posted in Ask HN: Who is hiring? (August 2026).,https://news.ycombinator.com/item?id=49160993,34
5bf37f36-2040-4150-aae4-d543c4961c04,goareo.com,AREO,CTO; Founder; Head of Talent; VP Engineering,,,,verified_provider,,,provider_verified,0.95,AREO posted in Ask HN: Who is hiring? (August 2026).,https://news.ycombinator.com/item?id=49159686,34
269c433c-c287-41ed-9c7d-bee5edfda38b,withclad.comclad,Clad,CTO; Founder; Head of Talent; VP Engineering,,,,verified_provider,,,provider_verified,0.95,Clad posted in Ask HN: Who is hiring? (August 2026).,https://news.ycombinator.com/item?id=49158689,34
ec73a9b8-7abd-4983-ab3c-c72147c77a79,cogram.com,Cogram,CTO; Founder; Head of Talent; VP Engineering,,,,verified_provider,,,provider_verified,0.95,Cogram posted in Ask HN: Who is hiring? (August 2026).,https://news.ycombinator.com/item?id=49157888,34
271bac56-4b79-419c-802f-d6a32268dabd,enveritas.org,Enveritas,CTO; Founder; Head of Talent; VP Engineering,,,,verified_provider,,,provider_verified,0.95,Enveritas posted in Ask HN: Who is hiring? (August 2026).,https://news.ycombinator.com/item?id=49158655,34
ba62184d-134c-422f-999d-4ebf0c02ac92,go.featurebase.app,Featurebase,CTO; Founder; Head of Talent; VP Engineering,,,,verified_provider,,,provider_verified,0.95,Featurebase posted in Ask HN: Who is hiring? (August 2026).,https://news.ycombinator.com/item?id=49162401,34
4bcc420e-8645-4220-82e1-0f98957a582a,flywheelmotion.com,Flywheel Motion (,CTO; Founder; Head of Talent; VP Engineering,,,,verified_provider,,,provider_verified,0.95,Flywheel Motion ( posted in Ask HN: Who is hiring? (August 2026).,https://news.ycombinator.com/item?id=49156702,34
