"candidate_type","checked_urls","company","company_domain","company_id","confidence","email","evidence_urls","extraction","full_name","has_name_evidence","has_role_evidence","is_company_domain_email","is_generic_email","provider_name","reason","reason_to_write","recommended_review_status","record_type","review_hint","review_status","role","score","source_excerpt","source_type","source_url","target_roles","verification_status"
"direct_person",,"PostHog","posthog.com","ecf26053-9fe3-4919-b0c2-352e77504dec","0.72","tosales@posthog.com","https://news.ycombinator.com/item?id=49156716","email_regex","","false","false","true","false","apify-contact-candidate-enricher",,"PostHog posted in Ask HN: Who is hiring? (August 2026).","needs_review","contact_candidate","Direct company email found. Confirm source evidence before approving.","needs_review","","23","Tosales@posthog.com","manual_review","https://posthog.com/talk-to-a-human","CTO; Founder; Head of Talent; VP Engineering","manual_verified"
,"https://radicalnumerics.ai/;https://radicalnumerics.ai/about;https://radicalnumerics.ai/about-us;https://radicalnumerics.ai/company;https://radicalnumerics.ai/team;https://radicalnumerics.ai/leadership;https://radicalnumerics.ai/people;https://radicalnumerics.ai/management;https://radicalnumerics.ai/executive-team;https://radicalnumerics.ai/contact;https://radicalnumerics.ai/contact-us;https://radicalnumerics.ai/careers","Radical Numerics","radicalnumerics.ai","b0a9fe9a-f958-4716-9dc3-e1b0a0b2e276",,,,,,,,,,,"no_contact_candidate_found",,,"miss",,,,"23",,,,,
"direct_person",,"Railway","railway.com","364d8cd1-cd10-47d7-9578-aa6b64116471","0.72","team@railway.com","https://news.ycombinator.com/item?id=49160915","mailto_link","","false","false","true","false","apify-contact-candidate-enricher",,"Railway posted in Ask HN: Who is hiring? (August 2026).","needs_review","contact_candidate","Direct company email from mailto link. Confirm it belongs to a useful person or team.","needs_review","","23","","manual_review","https://railway.com/","CTO; Founder; Head of Talent; VP Engineering","manual_verified"
,"https://retool.com/;https://retool.com/about;https://retool.com/about-us;https://retool.com/company;https://retool.com/team;https://retool.com/leadership;https://retool.com/people;https://retool.com/management;https://retool.com/executive-team;https://retool.com/contact;https://retool.com/contact-us;https://retool.com/careers","Retool","retool.com","0c37af15-2966-4e0c-b4cc-96023e0eb19d",,,,,,,,,,,"no_contact_candidate_found",,,"miss",,,,"23",,,,,
,"https://rootly.com/;https://rootly.com/about;https://rootly.com/about-us;https://rootly.com/company;https://rootly.com/team;https://rootly.com/leadership;https://rootly.com/people;https://rootly.com/management;https://rootly.com/executive-team;https://rootly.com/contact;https://rootly.com/contact-us;https://rootly.com/careers","Rootly","rootly.com","372bed08-5888-4277-a519-63d73dd40058",,,,,,,,,,,"no_contact_candidate_found",,,"miss",,,,"23",,,,,
,"https://seeq.com/;https://seeq.com/about;https://seeq.com/about-us;https://seeq.com/company;https://seeq.com/team;https://seeq.com/leadership;https://seeq.com/people;https://seeq.com/management;https://seeq.com/executive-team;https://seeq.com/contact;https://seeq.com/contact-us;https://seeq.com/careers","Seeq","seeq.com","a4eea2e3-1418-45d4-8c13-0146247ee0c3",,,,,,,,,,,"no_contact_candidate_found",,,"miss",,,,"23",,,,,
,"https://shepherdinsurance.com/;https://shepherdinsurance.com/about;https://shepherdinsurance.com/about-us;https://shepherdinsurance.com/company;https://shepherdinsurance.com/team;https://shepherdinsurance.com/leadership;https://shepherdinsurance.com/people;https://shepherdinsurance.com/management;https://shepherdinsurance.com/executive-team;https://shepherdinsurance.com/contact;https://shepherdinsurance.com/contact-us;https://shepherdinsurance.com/careers","Shepherd","shepherdinsurance.com","4c1ad194-9b82-41c5-ab12-8628e4b86243",,,,,,,,,,,"no_contact_candidate_found",,,"miss",,,,"23",,,,,
"direct_person",,"SmarterDx","smarterdx.com","f0b99380-42f3-4fea-af6b-5d5fea0ac66a","0.72","hiring@smarterdx.com","https://news.ycombinator.com/item?id=49156724","mailto_link","","false","false","true","false","apify-contact-candidate-enricher",,"SmarterDx posted in Ask HN: Who is hiring? (August 2026).","needs_review","contact_candidate","Direct company email from mailto link. Confirm it belongs to a useful person or team.","needs_review","","23","E-mail resume to: hiring@smarterdx.com","manual_review","https://www.smarterdx.com/careers","CTO; Founder; Head of Talent; VP Engineering","manual_verified"
,"https://snowflake.com/;https://snowflake.com/about;https://snowflake.com/about-us;https://snowflake.com/company;https://snowflake.com/team;https://snowflake.com/leadership;https://snowflake.com/people;https://snowflake.com/management;https://snowflake.com/executive-team;https://snowflake.com/contact;https://snowflake.com/contact-us;https://snowflake.com/careers","Snowflake","snowflake.com","04b8a793-a7a2-4f59-9d5a-b78bb610093b",,,,,,,,,,,"no_contact_candidate_found",,,"miss",,,,"23",,,,,
"low_value_generic_inbox",,"Starbridge","starbridge.ai","04f90999-f9cb-425c-a71c-e3707948dc6a","0.72","support@starbridge.ai","https://news.ycombinator.com/item?id=49157646","mailto_link","","false","false","true","true","apify-contact-candidate-enricher",,"Starbridge posted in Ask HN: Who is hiring? (August 2026).","reject","contact_candidate","Generic inbox with low outreach value.","needs_review","","23","","manual_review","https://starbridge.ai/","CTO; Founder; Head of Talent; VP Engineering","manual_verified"
